os,cpu,gpu,ram,kernel,driver
Arch Linux,Intel Core i5-4670K CPU @ 3.40GHz,,16309452,5.8.9-zen2-1-zen,4.6.0 NVIDIA 450.66
fps,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,ram_used,elapsed
59.8492,12,20,42,37,683,810,0.335205,4.53123,2544
59.9909,12,20,42,37,683,810,0.335205,4.53123,102619
59.9458,12,20,42,37,683,810,0.335205,4.53123,202688
59.9915,12,20,42,37,683,810,0.335205,4.53123,302763
59.9825,23,18,42,37,683,810,0.337158,4.53033,402825
60.1082,23,18,42,37,683,810,0.337158,4.53033,502898
59.9661,23,18,42,37,683,810,0.337158,4.53033,602976
60.0182,23,18,42,37,683,810,0.337158,4.53033,703076
59.9757,23,18,42,37,683,810,0.337158,4.53033,803146
59.9783,12,21,40,37,683,810,0.337158,4.53062,903190
60.0132,12,21,40,37,683,810,0.337158,4.53062,1003272
60.0084,12,21,40,37,683,810,0.337158,4.53062,1103345
60.0104,12,21,40,37,683,810,0.337158,4.53062,1203740
60.0419,12,21,40,37,683,810,0.337158,4.53062,1304046
60.0242,12,21,40,37,683,810,0.337158,4.53062,1404245
59.9592,27,21,40,36,683,810,0.337158,4.53096,1504331
60.0332,27,21,40,36,683,810,0.337158,4.53096,1604399
59.9914,27,21,40,36,683,810,0.337158,4.53096,1704496
59.995,27,21,40,36,683,810,0.337158,4.53096,1804592
60.0089,27,21,40,36,683,810,0.337158,4.53096,1904662
60.1025,37,21,40,36,683,810,0.337158,4.53032,2004736
60.0446,37,21,40,36,683,810,0.337158,4.53032,2104847
59.9788,37,21,40,36,683,810,0.337158,4.53032,2204935
60.0409,37,21,40,36,683,810,0.337158,4.53032,2305011
59.9884,37,21,40,36,683,810,0.337158,4.53032,2405104
185.334,22,20,40,36,683,810,0.337158,4.5299,2505174
80.4166,22,20,40,36,683,810,0.337158,4.5299,2605234
69.4174,22,20,40,36,683,810,0.337158,4.5299,2705318
66.3801,22,20,40,36,683,810,0.337158,4.5299,2805403
64.8399,22,20,40,36,683,810,0.337158,4.5299,2905489
63.9047,17,21,40,36,683,810,0.33728,4.5298,3005570
60.0619,17,21,40,36,683,810,0.33728,4.5298,3105643
59.991,17,21,40,36,683,810,0.33728,4.5298,3205722
60.0262,17,21,40,36,683,810,0.33728,4.5298,3305807
60.0408,17,21,40,36,683,810,0.33728,4.5298,3405885
60.009,17,21,40,36,683,810,0.33728,4.5298,3505961
60.1113,14,21,40,37,683,810,0.33728,4.52997,3606039
60.0627,14,21,40,37,683,810,0.33728,4.52997,3706117
60.0164,14,21,40,37,683,810,0.33728,4.52997,3806195
60.0177,14,21,40,37,683,810,0.33728,4.52997,3906295
60.0082,14,21,40,37,683,810,0.33728,4.52997,4006365
60.8356,20,20,40,36,683,810,0.33728,4.53011,4106440
60.2936,20,20,40,36,683,810,0.33728,4.53011,4206515
60.2581,20,20,40,36,683,810,0.33728,4.53011,4306580
60.1716,20,20,40,36,683,810,0.33728,4.53011,4406653
60.1031,20,20,40,36,683,810,0.33728,4.53011,4506722
59.8922,21,11,40,36,683,810,0.336304,4.5307,4606792
60.0436,21,11,40,36,683,810,0.336304,4.5307,4706879
59.9976,21,11,40,36,683,810,0.336304,4.5307,4806970
59.9882,21,11,40,36,683,810,0.336304,4.5307,4907045
60.0004,21,11,40,36,683,810,0.336304,4.5307,5007111
184.684,34,20,48,36,683,810,0.336304,4.53094,5107186
77.2459,34,20,48,36,683,810,0.336304,4.53094,5207257
69.2738,34,20,48,36,683,810,0.336304,4.53094,5307332
66.3543,34,20,48,36,683,810,0.336304,4.53094,5407404
64.8136,34,20,48,36,683,810,0.336304,4.53094,5507476
63.8838,19,20,48,36,683,810,0.336304,4.53094,5607553
60.1685,19,20,48,36,683,810,0.336304,4.53094,5707671
60.0565,19,20,48,36,683,810,0.336304,4.53094,5807758
60.0619,19,20,48,36,683,810,0.336304,4.53094,5907833
60.048,19,20,48,36,683,810,0.336304,4.53094,6007953
60.0072,19,20,48,36,683,810,0.336304,4.53094,6108024
59.8795,16,20,40,36,683,810,0.336304,4.53173,6208141
59.939,16,20,40,36,683,810,0.336304,4.53173,6308200
59.9626,16,20,40,36,683,810,0.336304,4.53173,6408321
59.8522,16,20,40,36,683,810,0.336304,4.53173,6508450
59.9816,16,20,40,36,683,810,0.336304,4.53173,6608522
60.0925,15,19,40,36,683,810,0.336304,4.53164,6708637
60.045,15,19,40,36,683,810,0.336304,4.53164,6808757
60.0168,15,19,40,36,683,810,0.336304,4.53164,6908838
60.0198,15,19,40,36,683,810,0.336304,4.53164,7008956
59.9981,15,19,40,36,683,810,0.336304,4.53164,7109080
59.8749,13,20,40,36,683,810,0.336304,4.53139,7209157
59.9729,13,20,40,36,683,810,0.336304,4.53139,7309193
59.9907,13,20,40,36,683,810,0.336304,4.53139,7409258
59.9927,13,20,40,36,683,810,0.336304,4.53139,7509452
60.0072,13,20,40,36,683,810,0.336304,4.53139,7609520
59.9484,30,20,40,36,683,810,0.336304,4.53237,7709591
59.97,30,20,40,36,683,810,0.336304,4.53237,7809664
59.9868,30,20,40,36,683,810,0.336304,4.53237,7909726
59.9777,30,20,40,36,683,810,0.336304,4.53237,8009794
59.9917,30,20,40,36,683,810,0.336304,4.53237,8109871
59.9568,39,20,42,36,683,810,0.336304,4.53187,8209948
60.0016,39,20,42,36,683,810,0.336304,4.53187,8310020
60.0048,39,20,42,36,683,810,0.336304,4.53187,8410096
60.005,39,20,42,36,683,810,0.336304,4.53187,8510179
59.9967,39,20,42,36,683,810,0.336304,4.53187,8610247
59.9,23,16,42,36,683,810,0.337158,4.53187,8710313
60.0335,23,16,42,36,683,810,0.337158,4.53187,8810396
60.0276,23,16,42,36,683,810,0.337158,4.53187,8910470
59.9938,23,16,42,36,683,810,0.337158,4.53187,9010541
60.0061,23,16,42,36,683,810,0.337158,4.53187,9110638
59.6979,29,20,41,36,683,810,0.337158,4.53244,9210706
59.9505,29,20,41,36,683,810,0.337158,4.53244,9310786
